namespace	original_sha256	candidate_sha256	status
datomic.query.support	b19a419c071a898aecc1a13dcbdc8d9e26533a2e308b20cc906c96af942bdf36	b19a419c071a898aecc1a13dcbdc8d9e26533a2e308b20cc906c96af942bdf36	MATCH
datomic.specs	38ab0ff2fb163ceafc5684c06b1e1fbfebc43198681afe47a11deacbefb18672	38ab0ff2fb163ceafc5684c06b1e1fbfebc43198681afe47a11deacbefb18672	MATCH
