metric	value
distribution.dependencies	533
candidate.artifacts	532
disposition.retain_hash_pinned_stage1	531
disposition.sanitize_and_replace	1
disposition.exclude_original_recover_source	1
exact_source_provider_jars	24
exact_source_namespaces	87
unaccounted.dependencies	0
postgresql.priority	primary before alternative backends
stage1.retention_claim	structural compatibility, not final runtime necessity
