position	role	kind	logical_path	expected_sha256	actual_sha256	bytes	files	archive_entries	archive_bytes	nested_archive_entries	nested_archive_bytes	forbidden_hits	violations
1	retained-distribution-dependency	jar	distribution:lib/HdrHistogram-2.1.12.jar	9b47fbae444feaac4b7e04f0ea294569e4bc282bc69d8c2ce2ac3f23577281e2	9b47fbae444feaac4b7e04f0ea294569e4bc282bc69d8c2ce2ac3f23577281e2	173763	1	99	348507	0	0	0	0
2	retained-distribution-dependency	jar	distribution:lib/activemq-artemis-native-2.0.0.jar	b4022172b60397e0205644afde431446d86959182f2ed71246fcdff86cb6c78e	b4022172b60397e0205644afde431446d86959182f2ed71246fcdff86cb6c78e	41746	1	14	113976	0	0	0	0
3	retained-distribution-dependency	jar	distribution:lib/annotations-2.15.66.jar	451a6d3682d5f79a8535031e70d635c2a5b035ec2cb514ae2bdedfe96a252d69	451a6d3682d5f79a8535031e70d635c2a5b035ec2cb514ae2bdedfe96a252d69	12178	1	15	19694	0	0	0	0
4	retained-distribution-dependency	jar	distribution:lib/anomalies-0.1.12.jar	6f8b82602ae84352c61a9e632895089f1c51e43e8af71769371f38feeaec7fc1	6f8b82602ae84352c61a9e632895089f1c51e43e8af71769371f38feeaec7fc1	6842	1	6	13662	0	0	0	0
5	retained-distribution-dependency	jar	distribution:lib/api-0.8.686.jar	3127804f4b6c44fe3320cf623c4813169ca2bec16ee111c70e69bfb04e017d9b	3127804f4b6c44fe3320cf623c4813169ca2bec16ee111c70e69bfb04e017d9b	43586	1	32	127580	0	0	0	0
6	retained-distribution-dependency	jar	distribution:lib/artemis-commons-2.31.2.jar	1d1b161ceab050a830b318acd3d2058f2bafcf9cd0ef75764f760d6a51fa2526	1d1b161ceab050a830b318acd3d2058f2bafcf9cd0ef75764f760d6a51fa2526	666451	1	462	1437904	0	0	0	0
7	retained-distribution-dependency	jar	distribution:lib/artemis-core-client-2.31.2.jar	cdf8ce7ea9b1deb4137926ce3882b9e60208a15bdb52d8837b27e73b0bf96186	cdf8ce7ea9b1deb4137926ce3882b9e60208a15bdb52d8837b27e73b0bf96186	842061	1	431	1954000	0	0	0	0
8	retained-distribution-dependency	jar	distribution:lib/artemis-jdbc-store-2.31.2.jar	e382737d4fca23b57c3ef5952ed5354e91a048ca27a9efd18ad43b46e215b6b0	e382737d4fca23b57c3ef5952ed5354e91a048ca27a9efd18ad43b46e215b6b0	111813	1	41	284368	0	0	0	0
9	retained-distribution-dependency	jar	distribution:lib/artemis-journal-2.31.2.jar	c07f44885f43743e2c75a4d411220b7db9bacd694d33c8b3e513f574d7434aa0	c07f44885f43743e2c75a4d411220b7db9bacd694d33c8b3e513f574d7434aa0	236432	1	115	523189	0	0	0	0
10	retained-distribution-dependency	jar	distribution:lib/artemis-quorum-api-2.31.2.jar	c6e912dabb38abeb205348f67dafda8eb54d81a036a6b1e7e6bb65083d581664	c6e912dabb38abeb205348f67dafda8eb54d81a036a6b1e7e6bb65083d581664	12776	1	12	21273	0	0	0	0
11	retained-distribution-dependency	jar	distribution:lib/artemis-selector-2.31.2.jar	04fe9f984809f81c2f67ad7958846e74c3c100c8f5dc4635a5f7374372cd35e3	04fe9f984809f81c2f67ad7958846e74c3c100c8f5dc4635a5f7374372cd35e3	109398	1	59	225022	0	0	0	0
12	retained-distribution-dependency	jar	distribution:lib/artemis-server-2.31.2.jar	a43afc3adf1fda02d0ea7453df5db3016c509c8f1578ff371b965288fe4757db	a43afc3adf1fda02d0ea7453df5db3016c509c8f1578ff371b965288fe4757db	2378240	1	1057	5994387	0	0	0	0
13	retained-distribution-dependency	jar	distribution:lib/asm-9.2.jar	b9d4fe4d71938df38839f0eca42aaaa64cf8b313d678da036f0cb3ca199b47f5	b9d4fe4d71938df38839f0eca42aaaa64cf8b313d678da036f0cb3ca199b47f5	122004	1	39	244171	0	0	0	0
