position	role	kind	logical_path	expected_sha256	actual_sha256	bytes	files	archive_entries	archive_bytes	nested_archive_entries	nested_archive_bytes	forbidden_hits	violations
14	retained-distribution-dependency	jar	distribution:lib/asm-analysis-5.0.3.jar	e8fa2a63462c96557dcd36c25525e1264b77366ff851cf0b94eb7592b290849d	e8fa2a63462c96557dcd36c25525e1264b77366ff851cf0b94eb7592b290849d	20443	1	14	47983	0	0	0	0
15	retained-distribution-dependency	jar	distribution:lib/asm-commons-5.0.3.jar	18c1e092230233c9d29e46f21943d769bdb48130cc279e4b0e663f423948c2da	18c1e092230233c9d29e46f21943d769bdb48130cc279e4b0e663f423948c2da	41717	1	23	88085	0	0	0	0
16	retained-distribution-dependency	jar	distribution:lib/asm-tree-5.0.3.jar	347a7a9400f9964e87c91d3980e48eebdc8d024bc3b36f7f22189c662853a51c	347a7a9400f9964e87c91d3980e48eebdc8d024bc3b36f7f22189c662853a51c	29036	1	31	53474	0	0	0	0
17	retained-distribution-dependency	jar	distribution:lib/asm-util-5.0.3.jar	2768edbfa2681b5077f08151de586a6d66b916703cda3ab297e58b41ae8f2362	2768edbfa2681b5077f08151de586a6d66b916703cda3ab297e58b41ae8f2362	43296	1	17	102821	0	0	0	0
18	retained-distribution-dependency	jar	distribution:lib/auth-2.15.66.jar	8062c905b3c4954ffc9942c4e83a6d8942a56127609e7de0d8b956176207ff12	8062c905b3c4954ffc9942c4e83a6d8942a56127609e7de0d8b956176207ff12	139338	1	97	321139	0	0	0	0
19	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-1.12.564.jar	d0c7f231e82580c59d84b5a0a4d601c07b7cb2e7af4ef5af50f90347e3f1cd1e	d0c7f231e82580c59d84b5a0a4d601c07b7cb2e7af4ef5af50f90347e3f1cd1e	5170	1	3	80347	0	0	0	0
20	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-accessanalyzer-1.12.564.jar	7fc91567e8d742844c19d0132258d2a4eec61bb8098a41382fab0287573b968b	7fc91567e8d742844c19d0132258d2a4eec61bb8098a41382fab0287573b968b	645827	1	385	1508819	0	0	0	0
21	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-account-1.12.564.jar	7b05315904fed7db90321d4b86e3221f5e6311f6c7e3a0ece3f8871559ff132f	7b05315904fed7db90321d4b86e3221f5e6311f6c7e3a0ece3f8871559ff132f	132467	1	93	307470	0	0	0	0
22	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-acm-1.12.564.jar	f1295606e3feb79882ca0cf159fe091455b62a3e7af1b300c15766d7f3bfc30f	f1295606e3feb79882ca0cf159fe091455b62a3e7af1b300c15766d7f3bfc30f	293450	1	192	689644	0	0	0	0
23	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-acmpca-1.12.564.jar	cf3d819738c0cd3bd77e54b4ee706092884afcbc63c222acbece086f5c2a073d	cf3d819738c0cd3bd77e54b4ee706092884afcbc63c222acbece086f5c2a073d	429133	1	288	988103	0	0	0	0
24	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-alexaforbusiness-1.12.564.jar	bbe613c1b0b7d0a2bdf14c75c757303036a4e498e6a21eaa0facea552d6c1f90	bbe613c1b0b7d0a2bdf14c75c757303036a4e498e6a21eaa0facea552d6c1f90	1322996	1	820	3279450	0	0	0	0
25	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-amplify-1.12.564.jar	6bee4a6efa03e5d877fcb413d30fa7efe1aac9eb054d5fa90d752ada445896ec	6bee4a6efa03e5d877fcb413d30fa7efe1aac9eb054d5fa90d752ada445896ec	505684	1	296	1244598	0	0	0	0
26	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-amplifybackend-1.12.564.jar	9cd06f363d447615728ccc2f2f65ac1b62d814682dc15164220131341300a3c5	9cd06f363d447615728ccc2f2f65ac1b62d814682dc15164220131341300a3c5	556011	1	324	1341238	0	0	0	0
27	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-amplifyuibuilder-1.12.564.jar	b425761465518c569a1199e87a8fd0b399359b2be69c73e2dbf707343cc87f7d	b425761465518c569a1199e87a8fd0b399359b2be69c73e2dbf707343cc87f7d	690355	1	389	1635501	0	0	0	0
28	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-api-gateway-1.12.564.jar	ad22e0653a5ea893d8effcf30a91fcb53747748d6890536335fa12c73136ff3d	ad22e0653a5ea893d8effcf30a91fcb53747748d6890536335fa12c73136ff3d	1613130	1	880	4133418	0	0	0	0
29	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-apigatewaymanagementapi-1.12.564.jar	798856cbe9d93b6dd3b5d24cf8f033049f3ce2ecb51e880bab3e9023f268b9cc	798856cbe9d93b6dd3b5d24cf8f033049f3ce2ecb51e880bab3e9023f268b9cc	53451	1	41	117547	0	0	0	0
30	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-apigatewayv2-1.12.564.jar	cd749e486471d85c3b7bef6480a24b280d48189235c765af4d92a504be7a145c	cd749e486471d85c3b7bef6480a24b280d48189235c765af4d92a504be7a145c	999244	1	534	2589644	0	0	0	0
31	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appconfig-1.12.564.jar	e1c92346f292afd883b9c302ee0dd53078863b7a4e45a21fad7fc3cc87c105a9	e1c92346f292afd883b9c302ee0dd53078863b7a4e45a21fad7fc3cc87c105a9	606762	1	343	1531153	0	0	0	0
32	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appconfigdata-1.12.564.jar	c12b18841f86181f5c1d77354d2b51d3484bd42ceb973c48cf534386c00fa20f	c12b18841f86181f5c1d77354d2b51d3484bd42ceb973c48cf534386c00fa20f	56181	1	41	120248	0	0	0	0
33	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appfabric-1.12.564.jar	13e14f5b64b7ea8b767b95f9009437bc41a1c485f90f4af117a471f43c68cd27	13e14f5b64b7ea8b767b95f9009437bc41a1c485f90f4af117a471f43c68cd27	418721	1	267	994299	0	0	0	0
34	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appflow-1.12.564.jar	b3b728c539b7b2d3639acd527ae5fee4f8bb075f2ed9aba6ae0bf59c98bbba47	b3b728c539b7b2d3639acd527ae5fee4f8bb075f2ed9aba6ae0bf59c98bbba47	1150201	1	676	2598350	0	0	0	0
35	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appintegrations-1.12.564.jar	cd729e5f3211bec5dcce904ea07bf81bdb8fcc9268f1d8168427f9b8b4fe7c89	cd729e5f3211bec5dcce904ea07bf81bdb8fcc9268f1d8168427f9b8b4fe7c89	286482	1	176	710884	0	0	0	0
36	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-applicationautoscaling-1.12.564.jar	4ca8fc4b9235365e755fea7772a053884d16a747573de878b4fbfa590d4b4fc0	4ca8fc4b9235365e755fea7772a053884d16a747573de878b4fbfa590d4b4fc0	294011	1	171	712447	0	0	0	0
37	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-applicationcostprofiler-1.12.564.jar	2f14e7a4f0d6ac933a060bc79412b84458d28f88ba4f7d8bf3da0bfe1c85803f	2f14e7a4f0d6ac933a060bc79412b84458d28f88ba4f7d8bf3da0bfe1c85803f	105193	1	70	247524	0	0	0	0
38	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-applicationinsights-1.12.564.jar	fc8a0636b6739d0b922e131f7ebe9dea007769e77509ec987424bb961188feba	fc8a0636b6739d0b922e131f7ebe9dea007769e77509ec987424bb961188feba	454214	1	272	1141136	0	0	0	0
39	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appmesh-1.12.564.jar	adf69407e5837e8730e8e42661defe14b8c21cc54ca9d3850642e2c6c71b1188	adf69407e5837e8730e8e42661defe14b8c21cc54ca9d3850642e2c6c71b1188	1157604	1	706	2632803	0	0	0	0
40	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appregistry-1.12.564.jar	54b608d8e2f8683d3d33da68a701be5d80e5498a34bc1487680465a5a00df436	54b608d8e2f8683d3d33da68a701be5d80e5498a34bc1487680465a5a00df436	333209	1	210	806939	0	0	0	0
41	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-apprunner-1.12.564.jar	941340c2c981c3e28619282a0ceab4cdce044a6a3aeebb0f852b21e97bf46323	941340c2c981c3e28619282a0ceab4cdce044a6a3aeebb0f852b21e97bf46323	604857	1	364	1472551	0	0	0	0
42	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appstream-1.12.564.jar	ede9fe2c92506aedc4bfed657ec575ffe335c9e59a10555b23d6f9b7f95ae38b	ede9fe2c92506aedc4bfed657ec575ffe335c9e59a10555b23d6f9b7f95ae38b	1100874	1	663	2715368	0	0	0	0
43	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-appsync-1.12.564.jar	2952fdc4affde9bf3ccddffa40d3a8381134a7e9aff30a22a21519dcf199949b	2952fdc4affde9bf3ccddffa40d3a8381134a7e9aff30a22a21519dcf199949b	863915	1	534	2094743	0	0	0	0
44	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-arczonalshift-1.12.564.jar	7df4531dd70e16b025df55fd778a575eee0ec66f71c2c9eb8d9e442511ed5eb8	7df4531dd70e16b025df55fd778a575eee0ec66f71c2c9eb8d9e442511ed5eb8	113412	1	73	261015	0	0	0	0
45	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-athena-1.12.564.jar	0e41b18edca45a070e42bf18e4b19b24ece0d2015778fea4fa75f44d15336bc0	0e41b18edca45a070e42bf18e4b19b24ece0d2015778fea4fa75f44d15336bc0	1015652	1	624	2457058	0	0	0	0
46	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-auditmanager-1.12.564.jar	88145b58a2470dbb7c07f98405cf5e8c7b63e95e416a270865db6e79a1a2f387	88145b58a2470dbb7c07f98405cf5e8c7b63e95e416a270865db6e79a1a2f387	995919	1	581	2458100	0	0	0	0
47	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-augmentedairuntime-1.12.564.jar	d267b2e57cf158a6eb00e6fc631b716a3c2fd9f0b2cddee803cc87852d2425f8	d267b2e57cf158a6eb00e6fc631b716a3c2fd9f0b2cddee803cc87852d2425f8	98033	1	69	219530	0	0	0	0
48	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-autoscaling-1.12.564.jar	c52704ef1c0f271daa1dabbc616e55b945d2ab100b03cc1b7bb757bba499cee3	c52704ef1c0f271daa1dabbc616e55b945d2ab100b03cc1b7bb757bba499cee3	925634	1	545	2362127	0	0	0	0
49	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-autoscalingplans-1.12.564.jar	da757bdb9c3cc60d35a0bf3cfb482a191d6ef8d53c560b3a5bc13bd3411a64e2	da757bdb9c3cc60d35a0bf3cfb482a191d6ef8d53c560b3a5bc13bd3411a64e2	182836	1	111	423188	0	0	0	0
50	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-backup-1.12.564.jar	176eca93b26ade2aa23ccaedd65ea6fb8522aebf95fc22f13740cc742241e83f	176eca93b26ade2aa23ccaedd65ea6fb8522aebf95fc22f13740cc742241e83f	1027992	1	594	2568011	0	0	0	0
51	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-backupgateway-1.12.564.jar	497fd000cc3a55b0e6451c4388f2127023cef737f324c88f8829d3a4ddd01309	497fd000cc3a55b0e6451c4388f2127023cef737f324c88f8829d3a4ddd01309	340108	1	210	828229	0	0	0	0
52	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-backupstorage-1.12.564.jar	3cb72a51371750fcd53c3d8b6210ce2684cb63eb7e5df88269b3a23456264b87	3cb72a51371750fcd53c3d8b6210ce2684cb63eb7e5df88269b3a23456264b87	141963	1	94	331895	0	0	0	0
53	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-batch-1.12.564.jar	9616fe297c56ace567d89133847ea0a151cadb62f911c43d9e242975f9a34412	9616fe297c56ace567d89133847ea0a151cadb62f911c43d9e242975f9a34412	720176	1	402	1683633	0	0	0	0
54	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-bedrock-1.12.564.jar	564f3e0d7e5ea402d3ae3768a47fae6a673bdff6a5273d02fd1fa0d3e5722fd2	564f3e0d7e5ea402d3ae3768a47fae6a673bdff6a5273d02fd1fa0d3e5722fd2	334083	1	207	811333	0	0	0	0
55	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-bedrockruntime-1.12.564.jar	c3bbce5b9c92993bc47b86a6e1306efac5ed8e974b3226a2301f0f7a3c259a98	c3bbce5b9c92993bc47b86a6e1306efac5ed8e974b3226a2301f0f7a3c259a98	41291	1	36	78754	0	0	0	0
56	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-billingconductor-1.12.564.jar	ca3b6fb564248ad7afb5a59897ced91d134adb890b1754dae825c42a2da89403	ca3b6fb564248ad7afb5a59897ced91d134adb890b1754dae825c42a2da89403	603522	1	350	1457284	0	0	0	0
57	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-braket-1.12.564.jar	f980f2f4740608ca306663e5cff0939f98afcb0db5777f535e67ada0685e3bc7	f980f2f4740608ca306663e5cff0939f98afcb0db5777f535e67ada0685e3bc7	298038	1	185	674938	0	0	0	0
58	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-budgets-1.12.564.jar	5a64e123ba788f0b48beb01ba7b91af4c738f9d2e36a6957bd72a3b8227698b8	5a64e123ba788f0b48beb01ba7b91af4c738f9d2e36a6957bd72a3b8227698b8	400648	1	248	960757	0	0	0	0
59	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-chime-1.12.564.jar	6893e68186e2a5e64124238022c3c9543b3d744d8ffabe370da63a078bcb8305	6893e68186e2a5e64124238022c3c9543b3d744d8ffabe370da63a078bcb8305	2458653	1	1528	6079079	0	0	0	0
60	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-chimesdkidentity-1.12.564.jar	776301ab5a864f5651748c99877b3c4a3e68097ab1bd3e0a13ce5b2eb821200a	776301ab5a864f5651748c99877b3c4a3e68097ab1bd3e0a13ce5b2eb821200a	445915	1	279	1091540	0	0	0	0
61	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-chimesdkmediapipelines-1.12.564.jar	dddfdd8e0e0ef7e998ef378c56d17bca075376e2a75849d3b40bcbdba2ca92df	dddfdd8e0e0ef7e998ef378c56d17bca075376e2a75849d3b40bcbdba2ca92df	834736	1	494	2008088	0	0	0	0
62	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-chimesdkmeetings-1.12.564.jar	1a54be6a1daf60922113ac2aa750fa6897527067d9f1d8446d3c139205311db8	1a54be6a1daf60922113ac2aa750fa6897527067d9f1d8446d3c139205311db8	293718	1	187	696579	0	0	0	0
63	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-chimesdkmessaging-1.12.564.jar	e81f0b55fa8b6ddd07765e8c558e8f7e73a9c08c050721b550ccba480625dfd7	e81f0b55fa8b6ddd07765e8c558e8f7e73a9c08c050721b550ccba480625dfd7	776246	1	460	1935957	0	0	0	0
64	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-chimesdkvoice-1.12.564.jar	e7e94d3af887c2257f7b2b3adbd5fba69d2ad06ca6a3ee325e7229a88bd84cd1	e7e94d3af887c2257f7b2b3adbd5fba69d2ad06ca6a3ee325e7229a88bd84cd1	1227199	1	755	3094570	0	0	0	0
65	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cleanrooms-1.12.564.jar	382757186d8ab17d61f4bd84ad53b0774a41d3f5736a8fe131d04d661b5a650a	382757186d8ab17d61f4bd84ad53b0774a41d3f5736a8fe131d04d661b5a650a	804354	1	474	1948072	0	0	0	0
66	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloud9-1.12.564.jar	ebe612cf45ca7dee9300b33b7ecdcfb72fb5cbede4f215c808b1f592f3bd4f27	ebe612cf45ca7dee9300b33b7ecdcfb72fb5cbede4f215c808b1f592f3bd4f27	184971	1	126	433039	0	0	0	0
67	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudcontrolapi-1.12.564.jar	85e564eb7aa66bb04140bebdb039908f91091cee0555bc4a63053aec218f7f1f	85e564eb7aa66bb04140bebdb039908f91091cee0555bc4a63053aec218f7f1f	165730	1	120	366201	0	0	0	0
68	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-clouddirectory-1.12.564.jar	0059ac5cda58b5e862910691e3bcc1d550c4cbd3f20689b5423eb3e426e86f9e	0059ac5cda58b5e862910691e3bcc1d550c4cbd3f20689b5423eb3e426e86f9e	1264966	1	774	3035768	0	0	0	0
69	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudformation-1.12.564.jar	b42d2db985e6ed1f9630ed2f0567d06c094e5a08898bbce8bfd329baf49348b2	b42d2db985e6ed1f9630ed2f0567d06c094e5a08898bbce8bfd329baf49348b2	1056925	1	638	2643840	0	0	0	0
70	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudfront-1.12.564.jar	b04fafc44ec194b5f996950478d72c93f17ce4e7b53352a3defd31d9d63612a1	b04fafc44ec194b5f996950478d72c93f17ce4e7b53352a3defd31d9d63612a1	1766184	1	1201	4172604	0	0	0	0
71	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudhsm-1.12.564.jar	00071d60af6500d3de0ec8b48b7c6eed7a501afefc56dcec9726ac68d3f77cc0	00071d60af6500d3de0ec8b48b7c6eed7a501afefc56dcec9726ac68d3f77cc0	228117	1	145	565300	0	0	0	0
72	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudhsmv2-1.12.564.jar	aa902be0769e3fae4cd1bef510b237795694ce56bbcc3a8ae802118cd32aa046	aa902be0769e3fae4cd1bef510b237795694ce56bbcc3a8ae802118cd32aa046	220805	1	140	523546	0	0	0	0
73	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudsearch-1.12.564.jar	b2e8984250a04c02e43197e468e3696e562d01a22ffc7ce8370f600694f4d6a5	b2e8984250a04c02e43197e468e3696e562d01a22ffc7ce8370f600694f4d6a5	458048	1	293	1104207	0	0	0	0
74	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudtrail-1.12.564.jar	2d88e960b257c62af037d514c4a2a573c1936f9c2098c0d48994b21f9c8c3cdc	2d88e960b257c62af037d514c4a2a573c1936f9c2098c0d48994b21f9c8c3cdc	814169	1	536	1902961	0	0	0	0
75	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudtraildata-1.12.564.jar	182b57124110009350a7a919b3813c62891e7f0a4f24306c842f5e67d496ca8f	182b57124110009350a7a919b3813c62891e7f0a4f24306c842f5e67d496ca8f	50579	1	39	100560	0	0	0	0
76	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudwatch-1.12.564.jar	3ecbf9dd97f6e61e43e5e8e458dfbd8c9c7a3b5f1c1923e84de3245363f2193c	3ecbf9dd97f6e61e43e5e8e458dfbd8c9c7a3b5f1c1923e84de3245363f2193c	534118	1	314	1332096	0	0	0	0
77	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudwatchevidently-1.12.564.jar	2e0e7012487dd3f97ce0d1cf96c8b5fa4c19fe62ae47cb93efd2827eec78dab5	2e0e7012487dd3f97ce0d1cf96c8b5fa4c19fe62ae47cb93efd2827eec78dab5	714167	1	415	1723250	0	0	0	0
78	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudwatchmetrics-1.12.564.jar	6acea6d36f9310afbf9bec8c497e2e1ac9c02420f80aef46ba176ae7b7ff6ec5	6acea6d36f9310afbf9bec8c497e2e1ac9c02420f80aef46ba176ae7b7ff6ec5	47623	1	29	98094	0	0	0	0
79	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cloudwatchrum-1.12.564.jar	3fd98a8a58c233de8d1e2b428804907ad36cb8c4c8a4a66d3dd4512b0f212fc5	3fd98a8a58c233de8d1e2b428804907ad36cb8c4c8a4a66d3dd4512b0f212fc5	290559	1	180	695150	0	0	0	0
80	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codeartifact-1.12.564.jar	ada0f143f8ac491ce3802139dfa205da556986060a19b3b544caa079855c83b9	ada0f143f8ac491ce3802139dfa205da556986060a19b3b544caa079855c83b9	571474	1	332	1421510	0	0	0	0
81	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codebuild-1.12.564.jar	cb64be3cd56955b739e27b9457ff307a5fa8263fd2fdbff080f2068f4df8296d	cb64be3cd56955b739e27b9457ff307a5fa8263fd2fdbff080f2068f4df8296d	864775	1	490	2107760	0	0	0	0
82	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codecommit-1.12.564.jar	dc6b1e819b8a6f1de941d03cf85ef04872b464dd5f179b31ae463a0f4034d139	dc6b1e819b8a6f1de941d03cf85ef04872b464dd5f179b31ae463a0f4034d139	1515874	1	1037	3479717	0	0	0	0
83	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codedeploy-1.12.564.jar	53a3f742f9570b5a32b7ed2ac9701514b790c93ecab3e42d4e14fe0856565e0e	53a3f742f9570b5a32b7ed2ac9701514b790c93ecab3e42d4e14fe0856565e0e	1060568	1	713	2433984	0	0	0	0
84	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codeguruprofiler-1.12.564.jar	3fac3779f18153cc6392ca177cc4cbc4a4f62e37818383ea369877545746d9d8	3fac3779f18153cc6392ca177cc4cbc4a4f62e37818383ea369877545746d9d8	375361	1	228	908315	0	0	0	0
85	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codegurureviewer-1.12.564.jar	24b737cad1c416bf1056ed3e586a0a568497eae480cad1d6bbf65123547d6da3	24b737cad1c416bf1056ed3e586a0a568497eae480cad1d6bbf65123547d6da3	347095	1	210	812603	0	0	0	0
86	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codegurusecurity-1.12.564.jar	17fc2acc58e93ea6e67b2ba4743386101a83502aba597036095557536bdb6755	17fc2acc58e93ea6e67b2ba4743386101a83502aba597036095557536bdb6755	271382	1	166	631547	0	0	0	0
87	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codepipeline-1.12.564.jar	77237d72da529431c7120c08833e3f349e768c0f51d31c1c151b5946b8d59a05	77237d72da529431c7120c08833e3f349e768c0f51d31c1c151b5946b8d59a05	859136	1	541	1990072	0	0	0	0
88	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codestar-1.12.564.jar	55859c19d16c0e0887255b1c24ae307d5e8f00b2f772af43da2862a81aab0c92	55859c19d16c0e0887255b1c24ae307d5e8f00b2f772af43da2862a81aab0c92	281722	1	185	655541	0	0	0	0
89	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codestarconnections-1.12.564.jar	5600122a367943b8834de1fda3e0e1ebf1729cd8e3440665690eabf1af8152d9	5600122a367943b8834de1fda3e0e1ebf1729cd8e3440665690eabf1af8152d9	163894	1	108	396716	0	0	0	0
90	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-codestarnotifications-1.12.564.jar	5858ce13b823b2f4df6022889a133b40908b2ff592d4124aec75b3ca9eb49fe6	5858ce13b823b2f4df6022889a133b40908b2ff592d4124aec75b3ca9eb49fe6	205331	1	133	491506	0	0	0	0
91	retained-distribution-dependency	jar	distribution:lib/aws-java-sdk-cognitoidentity-1.12.564.jar	4a6ca5964b13f1407d542aa66b5c2b57492f619fed1d518f7a476a0a749f7bb4	4a6ca5964b13f1407d542aa66b5c2b57492f619fed1d518f7a476a0a749f7bb4	329013	1	200	818574	0	0	0	0
