metric	value
input.sha256	d90819b57e2138085ddc26c93314f953c2cd776d1d1aa8b43a6bec1e475d3692
initializers.total	247
initializers.datomic	162
initializers.bundled	85
results.rows	247
results.unique_source_entries	247
datomic.decompile.passed	160
datomic.shipped_dependency_source.passed	2
bundled.shipped_source.passed	85
recovery.passed	247
recovery.failed	0
sources.written	247
sources.clj	246
sources.cljc	1
datomic.broken_decomp_sentinels	0
xargs.status	0
