entry	status	selected_namespace	reason	candidates	internal_name	source_file	class_sha256
clojure/tools/reader/default_data_readers/proxy$java/lang/ThreadLocal$ff19274a.class	resolved-conventionally	clojure.tools.reader.default_data_readers	no SourceFile evidence; selected longest initializer prefix	clojure.tools.reader.default_data_readers[type-prefix,source-mismatch];clojure.tools.reader[type-prefix,source-mismatch]	clojure/tools/reader/default_data_readers/proxy$java/lang/ThreadLocal$ff19274a	<empty>	bd17eb93631cfaa0a4442df5237306f6bb3a5e1dad647095e4d469ac2858362d
datomic/query/support/proxy$clojure/lang/ASeq$Counted$7e5d62ee.class	resolved-conventionally	datomic.query.support	no SourceFile evidence; selected longest initializer prefix	datomic.query.support[type-prefix,source-mismatch];datomic.query[type-prefix,source-mismatch]	datomic/query/support/proxy$clojure/lang/ASeq$Counted$7e5d62ee	<empty>	548838e60f4b66cfccebc746b89608e625518c1b5de1d5a238e7d35cc0a8f8e0
