source_namespace	source_var	target	count
datomic.adopter	adopt-index	datomic.db/accept-txes	2
datomic.adopter	adopt-index	datomic.db/memlog-txes-since	2
datomic.aggregation	max	datomic.common/compare	2
datomic.aggregation	min	datomic.common/compare	2
datomic.aggregation	sample	datomic.math/reservoir-sample	1
datomic.api	cancel	datomic.fressian/fressianable?	1
datomic.api	datoms	datomic.db/datoms	1
datomic.api	implicit-part	datomic.db/implicit-part	1
datomic.api	implicit-part-id	datomic.db/implicit-part-id	1
datomic.api	index-pull	datomic.pull/dereffed-index-pull	1
datomic.api	invoke	datomic.db/invoke	1
datomic.api	q	datomic.query/q	1
datomic.api	qseq	datomic.query/qseq	1
datomic.api	query	datomic.query/query	1
datomic.api	seek-datoms	datomic.db/seek-datoms	1
datomic.artemis-client	RpcClient	datomic.monitor/alarm	1
datomic.artemis-client	RpcClient	datomic.slf4j/caused-by	1
datomic.artemis-client	RpcClient	datomic.slf4j/process	1
datomic.artemis-client	RpcServer	datomic.monitor/alarm	1
datomic.artemis-client	RpcServer	datomic.slf4j/caused-by	1
datomic.artemis-client	RpcServer	datomic.slf4j/process	1
datomic.artemis-client	SessionFactoryBundle	datomic.common/require-keys	1
datomic.artemis-client	SessionFactoryBundle	datomic.monitor/alarm	1
datomic.artemis-client	SessionFactoryBundle	datomic.slf4j/caused-by	1
datomic.artemis-client	SessionFactoryBundle	datomic.slf4j/process	1
datomic.artemis-client	create-deserializer	datomic.fressian/clojure-read-handlers	1
datomic.artemis-client	create-deserializer	datomic.fressian/create-reader	1
datomic.artemis-client	create-fressian-message	datomic.fressian/create-writer	1
datomic.artemis-client	create-rpc-client	datomic.cache/create-response-map	1
datomic.artemis-client	create-rpc-client	datomic.cache/remove	1
datomic.artemis-client	create-rpc-client	datomic.error/report	8
datomic.artemis-client	create-rpc-client	datomic.error/runonce	4
datomic.artemis-client	create-rpc-server	datomic.error/report	10
datomic.artemis-client	create-rpc-server	datomic.error/runonce	5
datomic.artemis-client	create-rpc-server	datomic.slf4j/caused-by	1
datomic.artemis-client	create-rpc-server	datomic.slf4j/process	1
datomic.artemis-client	create-serializer	datomic.fressian/clojure-write-handlers	1
datomic.artemis-client	create-serializer	datomic.fressian/create-writer	1
datomic.artemis-client	create-session-factory	datomic.error/report	4
datomic.artemis-client	create-session-factory	datomic.error/runonce	2
datomic.artemis-client	create-temporary-queue	datomic.common/rand-uuid	1
datomic.artemis-client	delete-queue	datomic.error/report	1
datomic.artemis-client	fressian-producer	datomic.slf4j/caused-by	1
