keyword	total	namespaces
:ToolsPaceReadMsec	1	datomic.tools:1
:TransactionApplyNsec	2	datomic.transaction:2
:TransactionBytes	1	datomic.aws-monitor:1
:TransactionMsec	1	datomic.slf4j:1
:TransactionNsec	2	datomic.transaction:2
:UnhandledException	18	datomic.artemis-client:3,datomic.backup:2,datomic.common:2,datomic.connector:3,datomic.fulltext:1,datomic.peer:2,datomic.process:2,datomic.reconnector2:3
:Valcache	2	datomic.coordination:1,datomic.valcache-direct:1
:ValcacheGetExceptionNsec	1	datomic.valcache-direct:1
:ValcacheGetFailedMsec	1	datomic.aws-monitor:1
:ValcacheGetInFlight	1	datomic.valcache.puts-pool-impl:1
:ValcacheGetMissedNsec	1	datomic.valcache-direct:1
:ValcacheGetSucceededMsec	1	datomic.aws-monitor:1
:ValcacheGetSucceededNsec	1	datomic.valcache-direct:1
:ValcachePutFailException	1	datomic.valcache-direct:1
:ValcachePutFailFull	1	datomic.valcache.puts-pool-impl:1
:ValcachePutFailSize	1	datomic.valcache-direct:1
:ValcachePutFailedMsec	1	datomic.aws-monitor:1
:ValcachePutInFlight	1	datomic.valcache.puts-pool-impl:1
:ValcachePutNsec	1	datomic.valcache.puts-pool-impl:1
:ValcachePutQueueLength	1	datomic.valcache.puts-pool-impl:1
:ValcachePutSucceededMsec	1	datomic.aws-monitor:1
:ValcacheWriteNsec	1	datomic.valcache-direct:1
:ValueSize	1	datomic.aws-monitor:1
:WriterMemcachedPutFailedMusec	1	datomic.aws-monitor:1
:WriterMemcachedPutMusec	1	datomic.aws-monitor:1
:__n	2	datomic.ddb-values:2
:_keys	3	datomic.db:2,datomic.pull:1
:a	89	datomic.builtins:5,datomic.db:30,datomic.excise:4,datomic.extensions:1,datomic.fulltext:2,datomic.index:10,datomic.integrity:16,datomic.pull:3,datomic.query:2,datomic.stats:9,datomic.tools:5,datomic.tools.index-checks:2
:a-freqs	1	datomic.stats:1
:absent	5	datomic.cluster:1,datomic.index:4
:ack-batch-size	1	datomic.artemis-client:1
:action	1	datomic.peer:1
:actionPrefix	5	datomic.cloudwatch:5
:actionsEnabled	2	datomic.cloudwatch:2
:active	3	datomic.coordination:1,datomic.garbage:2
:added	14	datomic.api:3,datomic.db:3,datomic.index:1,datomic.integrity:6,datomic.tools:1
:adopted-db	2	datomic.adopter:1,datomic.peer:1
:aevt	77	datomic.db:16,datomic.excise:1,datomic.extensions:3,datomic.index:15,datomic.integrity:24,datomic.pull:3,datomic.stats:8,datomic.tools:4,datomic.tools.index-checks:2,datomic.treewalk:1
:aevt-hist	8	datomic.index:5,datomic.integrity:2,datomic.treewalk:1
:aevt-main	9	datomic.index:7,datomic.integrity:1,datomic.treewalk:1
:aevt-mid	8	datomic.index:5,datomic.integrity:2,datomic.treewalk:1
:aevt-total	2	datomic.integrity:2
:after	2	datomic.external-sort:2
:aid	1	datomic.index:1
:alarmActions	1	datomic.cloudwatch:1
:alarmArn	1	datomic.cloudwatch:1
:alarmConfigurationUpdatedTimestamp	1	datomic.cloudwatch:1
:alarmDescription	1	datomic.cloudwatch:1
:alarmName	1	datomic.cloudwatch:1
:alarmNamePrefix	5	datomic.cloudwatch:5
:alarmNames	7	datomic.cloudwatch:7
:alarmTypes	5	datomic.cloudwatch:5
:alert	1	datomic.cast2slf4j:1
:alg	2	datomic.crypto:2
:algorithm	2	datomic.crypto:2
:allow-duplicates	1	datomic.integrity:1
:allowed-clients	2	datomic.coordination:2
:alt-host	6	datomic.connector:2,datomic.coordination:3,datomic.peer:1
:analyze	2	datomic.fulltext-index:1,datomic.lucene:1
:analyzer	3	datomic.lucene:3
:analyzer-fn	1	datomic.lucene:1
:anom	4	datomic.core2.atom.logged:4
:api	5	datomic.db:1,datomic.pull:2,datomic.query:2
:applied-at	2	datomic.transaction:2
:apply-msec	3	datomic.transaction:3
:archivalSummary	1	datomic.ddb:1
:archiveStatus	1	datomic.s3-api:1
:arg	1	datomic.peer:1
:arglists	321	datomic.api:10,datomic.artemis-client:8,datomic.assert:1,datomic.backup:6,datomic.btset:6,datomic.cache.caffeine:1,datomic.catalog:1,datomic.cli:2,datomic.cloudwatch:3,datomic.cluster:1,datomic.common:3,datomic.config:5,datomic.connector:3,datomic.core2.atom.logged:3,datomic.core2.log.ddb:2,datomic.core2.val-store.double-store:2,datomic.crypto:1,datomic.datalog:1,datomic.db:86,datomic.db-io:1,datomic.ddb:8,datomic.ddb-cluster:1,datomic.ddb-s3-cluster:7,datomic.error:1,datomic.excise:9,datomic.extension-resolver:9,datomic.extensions:3,datomic.external-sort:1,datomic.fressian:4,datomic.function:2,datomic.future:1,datomic.garbage:1,datomic.garbage.fressian:2,datomic.garbage.pod:1,datomic.index:17,datomic.integrity:1,datomic.io:12,datomic.iter:6,datomic.kv-cluster:3,datomic.kv-dynamo:2,datomic.log:3,datomic.lucene:15,datomic.memcached:7,datomic.monitor:1,datomic.peer:1,datomic.pull:5,datomic.query:10,datomic.query.support:1,datomic.s3-api:17,datomic.slf4j:2,datomic.stats:2,datomic.tools:2,datomic.transaction:2,datomic.uri:2,datomic.valcache:13,datomic.valcache-direct:1
:args	4	datomic.cli:1,datomic.ddb:1,datomic.query:2
:arguments	2	datomic.error:1,datomic.pull:1
:argvars	10	datomic.datalog:10
:arity	1	datomic.datafy:1
:arules	2	datomic.datalog:1,datomic.query:1
