metric	value
archive.file	datomic-transactor-pro-1.0.7277.jar
archive.bytes	12689398
archive.sha256	d90819b57e2138085ddc26c93314f953c2cd776d1d1aa8b43a6bec1e475d3692
archive.comment	
entries.total	9871
entries.directories	178
entries.classes	9682
entries.resources	11
entries.stored	177
entries.deflated	9694
entries.uncompressed_bytes	22749547
entries.compressed_bytes	10915044
