namespace	source_path	source_sha256	historical_log_sha256	ledger_line
clojure.tools.reader.default-data-readers	clojure/tools/reader/default_data_readers.clj	3a478cea69bdb4cd63d54ffa4bffc6ae885cc0d524692797437d1486fe960abf	92a71d6e0e4da4b4f4da8ed775732554afbc35d1fece6bf54ed60b078935fef2	VAR_SURFACE_PROXY_EXCLUSIONS [{:namespace "clojure.tools.reader.default-data-readers", :root-class "java.lang.Class", :symbol "clojure.tools.reader.default_data_readers.proxy$java.lang.ThreadLocal$ff19274a"}]
cognitect.hmac-authn	cognitect/hmac_authn.clj	459109cc0d366e77cba7315011d997eacf792372bc4e8e52b508168fe36176ff	4d5248e14f7db07e7b463c66af8b23886dd30c6cc164fac1d0501fa9917595db	VAR_SURFACE_PROXY_EXCLUSIONS [{:namespace "cognitect.hmac-authn", :root-class "java.lang.Class", :symbol "cognitect.hmac_authn.proxy$java.lang.ThreadLocal$ff19274a"}]
