caller_namespace	target_kind	target	references	call_owner_references	field_owner_references	type_references	distinct_owners	owners
datomic.cloudwatch	companion-jar	clojure-1.11.4.jar	5346	1876	16	3454	24	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LazySeq,clojure/lang/LockingTransaction,clojure/lang/MultiFn,clojure/lang/Namespace,clojure/lang/PersistentHashSet,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.cloudwatch	jdk	java.lang	4627	8	127	4492	9	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Double,java/lang/Integer,java/lang/Number,java/lang/Object,java/lang/String,java/lang/Throwable
datomic.cloudwatch	jdk	java.util	54	5	0	49	5	java/util/Arrays,java/util/Collection,java/util/Date,java/util/List,java/util/concurrent/Callable
datomic.cloudwatch	primary-namespace	datomic.cloudwatch	64	32	0	32	32	datomic/cloudwatch$client,datomic/cloudwatch$describe_alarms,datomic/cloudwatch$fn__22809,datomic/cloudwatch$fn__22817,datomic/cloudwatch$fn__22817$fn__22818,datomic/cloudwatch$fn__22821,datomic/cloudwatch$fn__22821$fn__22822,datomic/cloudwatch$fn__22825,datomic/cloudwatch$fn__22825$fn__22826,datomic/cloudwatch$fn__22829,datomic/cloudwatch$fn__22829$fn__22830,datomic/cloudwatch$fn__22833,datomic/cloudwatch$fn__22833$fn__22834,datomic/cloudwatch$fn__22837,datomic/cloudwatch$fn__22843,datomic/cloudwatch$fn__22849,datomic/cloudwatch$fn__22911,datomic/cloudwatch$fn__22923,datomic/cloudwatch$fn__22926,datomic/cloudwatch$fn__22929,datomic/cloudwatch$fn__22932,datomic/cloudwatch$fn__22935,datomic/cloudwatch$fn__22938,datomic/cloudwatch$fn__22941,datomic/cloudwatch$fn__22944,datomic/cloudwatch$fn__22947,datomic/cloudwatch$fn__22949,datomic/cloudwatch$get_metric_statistics,datomic/cloudwatch$list_metrics,datomic/cloudwatch$list_metrics$fn__22812,datomic/cloudwatch$loading__6434__auto____22807,datomic/cloudwatch$put_metrics
datomic.cloudwatch	primary-namespace	datomic.datafy	9	3	0	6	1	datomic/datafy/ObjectToData
datomic.cluster	companion-jar	clojure-1.11.4.jar	7462	2719	41	4702	28	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/ILookup,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/ISeq,clojure/lang/IType,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/MethodImplCache,clojure/lang/Namespace,clojure/lang/Numbers,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashMap,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.cluster	companion-jar	slf4j-api-1.7.32.jar	42	21	0	21	2	org/slf4j/Logger,org/slf4j/LoggerFactory
datomic.cluster	jdk	java.lang	6459	85	52	6322	15	java/lang/AssertionError,java/lang/AutoCloseable,java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/IllegalArgumentException,java/lang/Integer,java/lang/Long,java/lang/Number,java/lang/Object,java/lang/RuntimeException,java/lang/String,java/lang/System,java/lang/Thread,java/lang/Throwable
datomic.cluster	jdk	java.util	382	126	3	253	8	java/util/Arrays,java/util/List,java/util/UUID,java/util/concurrent/ArrayBlockingQueue,java/util/concurrent/BlockingQueue,java/util/concurrent/Callable,java/util/concurrent/TimeUnit,java/util/concurrent/TimeoutException
datomic.cluster	primary-namespace	datomic.cluster	245	114	0	131	87	datomic/cluster$claim_pod,datomic/cluster$clone_pod,datomic/cluster$clone_ref,datomic/cluster$close,datomic/cluster$fn__10410,datomic/cluster$fn__10424,datomic/cluster$fn__10427,datomic/cluster$fn__10427$G__10422__10432,datomic/cluster$fn__10427$G__10423__10429,datomic/cluster$fn__10456,datomic/cluster$fn__10459,datomic/cluster$fn__10459$G__10442__10466,datomic/cluster$fn__10459$G__10443__10462,datomic/cluster$fn__10472,datomic/cluster$fn__10472$G__10448__10483,datomic/cluster$fn__10472$G__10449__10477,datomic/cluster$fn__10489,datomic/cluster$fn__10489$G__10454__10504,datomic/cluster$fn__10489$G__10455__10496,datomic/cluster$fn__10510,datomic/cluster$fn__10510$G__10444__10517,datomic/cluster$fn__10510$G__10445__10513,datomic/cluster$fn__10523,datomic/cluster$fn__10523$G__10446__10530,datomic/cluster$fn__10523$G__10447__10526,datomic/cluster$fn__10536,datomic/cluster$fn__10536$G__10440__10543,datomic/cluster$fn__10536$G__10441__10539,datomic/cluster$fn__10549,datomic/cluster$fn__10549$G__10438__10566,datomic/cluster$fn__10549$G__10439__10557,datomic/cluster$fn__10574,datomic/cluster$fn__10574$G__10452__10581,datomic/cluster$fn__10574$G__10453__10577,datomic/cluster$fn__10587,datomic/cluster$fn__10587$G__10450__10594,datomic/cluster$fn__10587$G__10451__10590,datomic/cluster$fn__10602,datomic/cluster$fn__10605,datomic/cluster$fn__10605$G__10600__10614,datomic/cluster$fn__10605$G__10601__10609,datomic/cluster$fn__10692,datomic/cluster$fn__10695,datomic/cluster$fn__10695$G__10688__10700,datomic/cluster$fn__10695$G__10689__10697,datomic/cluster$fn__10706,datomic/cluster$fn__10706$G__10690__10711,datomic/cluster$fn__10706$G__10691__10708,datomic/cluster$fn__10717,datomic/cluster$fn__10717$__GT_QueueingWriter__10719,datomic/cluster$fn__10729,datomic/cluster$fn__10732,datomic/cluster$fn__10732$G__10727__10737,datomic/cluster$fn__10732$G__10728__10734,datomic/cluster$get_ref_store,datomic/cluster$loading__6434__auto____10375,datomic/cluster$new_pod_key,datomic/cluster$new_ref_key,datomic/cluster$new_val_key,datomic/cluster$path,datomic/cluster$pod_key__GT_uuid,datomic/cluster$queueing_writer,datomic/cluster$queueing_writer$fn__10722,datomic/cluster$reset_pod,datomic/cluster$reset_ref,datomic/cluster$reset_ref$fn__10625,datomic/cluster$touch_pod,datomic/cluster$touch_ref,datomic/cluster$touch_ref$fn__10636,datomic/cluster$uncached_val_lookup,datomic/cluster$uncached_val_lookup$reify__10654,datomic/cluster$update_pod,datomic/cluster$uuid__GT_pod_key,datomic/cluster$uuid__GT_val_key,datomic/cluster$val_key__GT_uuid,datomic/cluster$write_vals,datomic/cluster$write_vals$fn__10675,datomic/cluster$write_vals$fn__10675$fn__10677,datomic/cluster$write_vals_STAR_,datomic/cluster$write_vals_STAR_$fn__10660,datomic/cluster$write_vals_STAR_$fn__10666,datomic/cluster/AsyncWriter,datomic/cluster/ClusteredStore,datomic/cluster/Dbid,datomic/cluster/Get2,datomic/cluster/QueueingWriter,datomic/cluster/RefClusterStore
datomic.cluster-stack	companion-jar	clojure-1.11.4.jar	2217	849	4	1364	26	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/Delay,clojure/lang/IFn,clojure/lang/IFn$OLO,clojure/lang/IFn$OLOO,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/IType,clojure/lang/Indexed,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/Namespace,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.cluster-stack	jdk	java.lang	2607	37	16	2554	11	java/lang/AutoCloseable,java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Exception,java/lang/IllegalArgumentException,java/lang/Integer,java/lang/Long,java/lang/Object,java/lang/String,java/lang/Throwable
datomic.cluster-stack	jdk	java.util	38	13	0	25	4	java/util/Arrays,java/util/List,java/util/concurrent/Callable,java/util/concurrent/atomic/AtomicReferenceArray
datomic.cluster-stack	primary-namespace	datomic.cluster	9	3	0	6	1	datomic/cluster/ClusteredStore
datomic.cluster-stack	primary-namespace	datomic.cluster-stack	98	49	0	49	49	datomic/cluster_stack$cluster_with_cache,datomic/cluster_stack$fn__11252,datomic/cluster_stack$fn__11254,datomic/cluster_stack$fn__11254$fn__11255,datomic/cluster_stack$fn__11259,datomic/cluster_stack$fn__11259$__GT_ValStoreOnKvCache__11267,datomic/cluster_stack$fn__11272,datomic/cluster_stack$fn__11272$__GT_ValStoreOnCluster__11432,datomic/cluster_stack$fn__11436,datomic/cluster_stack$fn__11436$__GT_ValStoreWithClose__11438,datomic/cluster_stack$fn__11443,datomic/cluster_stack$loading__6434__auto____11158,datomic/cluster_stack$result__GT_anom,datomic/cluster_stack$start_kv_cache,datomic/cluster_stack$start_kv_cache$close__11455,datomic/cluster_stack$start_kv_cache$combine__11448,datomic/cluster_stack$start_kv_cache$wrap__11445,datomic/cluster_stack$val_store_on_cluster,datomic/cluster_stack$val_store_on_kv_cache,datomic/cluster_stack$val_store_with_close,datomic/cluster_stack/ValStoreOnCluster,datomic/cluster_stack/ValStoreOnCluster$fn__11298,datomic/cluster_stack/ValStoreOnCluster$fn__11298$G__11273__11299,datomic/cluster_stack/ValStoreOnCluster$fn__11298$G__11274__11301,datomic/cluster_stack/ValStoreOnCluster$fn__11298$G__11275__11303,datomic/cluster_stack/ValStoreOnCluster$fn__11298$G__11276__11305,datomic/cluster_stack/ValStoreOnCluster$fn__11298$G__11277__11307,datomic/cluster_stack/ValStoreOnCluster$fn__11298$G__11278__11309,datomic/cluster_stack/ValStoreOnCluster$fn__11298$state_machine__6360__auto____11311,datomic/cluster_stack/ValStoreOnCluster$fn__11298$state_machine__6360__auto____11311$fn__11313,datomic/cluster_stack/ValStoreOnCluster$fn__11349,datomic/cluster_stack/ValStoreOnCluster$fn__11349$G__11327__11350,datomic/cluster_stack/ValStoreOnCluster$fn__11349$G__11328__11352,datomic/cluster_stack/ValStoreOnCluster$fn__11349$G__11329__11354,datomic/cluster_stack/ValStoreOnCluster$fn__11349$G__11330__11356,datomic/cluster_stack/ValStoreOnCluster$fn__11349$G__11331__11358,datomic/cluster_stack/ValStoreOnCluster$fn__11349$state_machine__6360__auto____11360,datomic/cluster_stack/ValStoreOnCluster$fn__11349$state_machine__6360__auto____11360$fn__11362,datomic/cluster_stack/ValStoreOnCluster$fn__11398,datomic/cluster_stack/ValStoreOnCluster$fn__11398$G__11376__11399,datomic/cluster_stack/ValStoreOnCluster$fn__11398$G__11377__11401,datomic/cluster_stack/ValStoreOnCluster$fn__11398$G__11378__11403,datomic/cluster_stack/ValStoreOnCluster$fn__11398$G__11379__11405,datomic/cluster_stack/ValStoreOnCluster$fn__11398$G__11380__11407,datomic/cluster_stack/ValStoreOnCluster$fn__11398$state_machine__6360__auto____11409,datomic/cluster_stack/ValStoreOnCluster$fn__11398$state_machine__6360__auto____11409$fn__11411,datomic/cluster_stack/ValStoreOnKvCache,datomic/cluster_stack/ValStoreOnKvCache$fn__11261,datomic/cluster_stack/ValStoreWithClose
datomic.cluster-stack	primary-namespace	datomic.core2.val-store.spi	18	3	0	15	3	datomic/core2/val_store/spi/Delete,datomic/core2/val_store/spi/Get,datomic/core2/val_store/spi/Put
datomic.cluster-stack	primary-namespace	datomic.future	15	5	0	10	1	datomic/future/GetChannel
datomic.clusterfs	companion-jar	clojure-1.11.4.jar	3240	1067	12	2161	40	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/APersistentMap,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/Counted,clojure/lang/IFn,clojure/lang/IFn$OL,clojure/lang/IHashEq,clojure/lang/IKeywordLookup,clojure/lang/ILookup,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IMapEntry,clojure/lang/IObj,clojure/lang/IPersistentCollection,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentSet,clojure/lang/IPersistentVector,clojure/lang/IRecord,clojure/lang/ISeq,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/MapEntry,clojure/lang/MapEquivalence,clojure/lang/Namespace,clojure/lang/Numbers,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashMap,clojure/lang/PersistentHashSet,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/RecordIterator,clojure/lang/RestFn,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.clusterfs	companion-jar	fressian-0.6.8.jar	33	8	0	25	4	org/fressian/Reader,org/fressian/Writer,org/fressian/handlers/ReadHandler,org/fressian/handlers/WriteHandler
datomic.clusterfs	companion-jar	slf4j-api-1.7.32.jar	42	21	0	21	2	org/slf4j/Logger,org/slf4j/LoggerFactory
datomic.clusterfs	jdk	array	1	0	0	1	1	[B
datomic.clusterfs	jdk	java.io	24	8	0	16	4	java/io/File,java/io/FileInputStream,java/io/IOException,java/io/Serializable
datomic.clusterfs	jdk	java.lang	2760	77	39	2644	14	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Double,java/lang/Error,java/lang/Integer,java/lang/Long,java/lang/Math,java/lang/Number,java/lang/Object,java/lang/String,java/lang/System,java/lang/Throwable,java/lang/UnsupportedOperationException
datomic.clusterfs	jdk	java.nio	2	0	0	2	1	java/nio/channels/FileChannel
datomic.clusterfs	jdk	java.util	81	16	0	65	7	java/util/Arrays,java/util/Collection,java/util/Iterator,java/util/List,java/util/Map,java/util/Set,java/util/concurrent/Callable
datomic.clusterfs	primary-namespace	datomic.cluster	3	1	0	2	1	datomic/cluster/ClusteredStore
datomic.clusterfs	primary-namespace	datomic.clusterfs	102	44	7	51	36	datomic/clusterfs$all_keys,datomic/clusterfs$ceil,datomic/clusterfs$chunk_keys,datomic/clusterfs$chunk_path,datomic/clusterfs$create_file,datomic/clusterfs$create_file$fn__14248,datomic/clusterfs$create_file$fn__14248$fn__14249,datomic/clusterfs$create_file$fn__14248$fn__14249$fn__14250,datomic/clusterfs$create_files,datomic/clusterfs$create_files$fn__14264,datomic/clusterfs$create_files$fn__14264$fn__14266,datomic/clusterfs$create_fs,datomic/clusterfs$create_fs$fn__14287,datomic/clusterfs$describe,datomic/clusterfs$describe$fn__14279,datomic/clusterfs$file_chunk_keys,datomic/clusterfs$files,datomic/clusterfs$floor,datomic/clusterfs$fn__14179,datomic/clusterfs$fn__14185,datomic/clusterfs$fn__14185$__GT_Chunk__14200,datomic/clusterfs$fn__14185$map__GT_Chunk__14202,datomic/clusterfs$fn__14206,datomic/clusterfs$fn__14206$__GT_ClusterFS__14225,datomic/clusterfs$fn__14206$map__GT_ClusterFS__14227,datomic/clusterfs$fressian_chunk_from_channel,datomic/clusterfs$loading__6434__auto____14177,datomic/clusterfs$reify__14234,datomic/clusterfs$reify__14236,datomic/clusterfs$reify__14238,datomic/clusterfs$reify__14240,datomic/clusterfs/Chunk,datomic/clusterfs/Chunk$reify__14189,datomic/clusterfs/ClusterFS,datomic/clusterfs/ClusterFS$reify__14210,datomic/clusterfs/ClusterFS$reify__14212
datomic.clusterfs	primary-namespace	datomic.impl.clusterfs	3	1	0	2	1	datomic/impl/clusterfs/IClusterFS
datomic.codec	companion-jar	clojure-1.11.4.jar	304	107	2	195	17	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/Namespace,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Var
datomic.codec	companion-jar	commons-codec-1.15.jar	2	2	0	0	1	org/apache/commons/codec/binary/Base64
datomic.codec	jdk	array	3	0	0	3	1	[B
datomic.codec	jdk	java.lang	222	11	1	210	6	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Object,java/lang/String
datomic.codec	jdk	java.util	17	5	0	12	3	java/util/Arrays,java/util/List,java/util/concurrent/Callable
datomic.codec	primary-namespace	datomic.codec	14	7	0	7	7	datomic/codec$base_64_literal,datomic/codec$bytes__GT_string,datomic/codec$decode_64,datomic/codec$encode_64,datomic/codec$fn__11468,datomic/codec$loading__6434__auto____11466,datomic/codec$string__GT_bytes
datomic.combined-cluster	companion-jar	clojure-1.11.4.jar	378	150	3	225	20	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/AReference,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/IType,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/Namespace,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.combined-cluster	jdk	java.io	2	0	0	2	2	java/io/Closeable,java/io/IOException
datomic.combined-cluster	jdk	java.lang	462	7	1	454	7	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Long,java/lang/Object,java/lang/String
datomic.combined-cluster	jdk	java.util	8	2	0	6	3	java/util/Arrays,java/util/List,java/util/concurrent/Callable
datomic.combined-cluster	primary-namespace	datomic.cluster	40	12	0	28	4	datomic/cluster/ClusteredStore,datomic/cluster/Dbid,datomic/cluster/Get2,datomic/cluster/RefClusterStore
datomic.combined-cluster	primary-namespace	datomic.combined-cluster	14	7	0	7	6	datomic/combined_cluster$combined_cluster,datomic/combined_cluster$fn__11174,datomic/combined_cluster$fn__11176,datomic/combined_cluster$fn__11176$__GT_CombinedCluster__11178,datomic/combined_cluster$loading__6434__auto____11172,datomic/combined_cluster/CombinedCluster
datomic.common	companion-jar	clojure-1.11.4.jar	6381	2275	29	4077	39	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IBlockingDeref,clojure/lang/IDeref,clojure/lang/IFn,clojure/lang/IFn$OOL,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPending,clojure/lang/IPersistentCollection,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/IProxy,clojure/lang/IRecord,clojure/lang/ISeq,clojure/lang/Indexed,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LazySeq,clojure/lang/LockingTransaction,clojure/lang/MethodImplCache,clojure/lang/Namespace,clojure/lang/Numbers,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashMap,clojure/lang/PersistentHashSet,clojure/lang/PersistentList,clojure/lang/PersistentVector,clojure/lang/RT,clojure/lang/RestFn,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var,clojure/lang/Volatile
datomic.common	companion-jar	slf4j-api-1.7.32.jar	24	12	0	12	2	org/slf4j/Logger,org/slf4j/LoggerFactory
datomic.common	jdk	array	4	0	0	4	1	[B
datomic.common	jdk	java.beans	9	4	0	5	4	java/beans/BeanInfo,java/beans/FeatureDescriptor,java/beans/Introspector,java/beans/PropertyDescriptor
datomic.common	jdk	java.io	26	8	0	18	6	java/io/Closeable,java/io/File,java/io/IOException,java/io/InputStream,java/io/InterruptedIOException,java/io/OutputStream
datomic.common	jdk	java.lang	5633	167	106	5360	22	[Ljava/lang/Object;,java/lang/AutoCloseable,java/lang/Boolean,java/lang/Byte,java/lang/Class,java/lang/ClassLoader,java/lang/ClassNotFoundException,java/lang/Comparable,java/lang/Exception,java/lang/IllegalArgumentException,java/lang/Integer,java/lang/InterruptedException,java/lang/Long,java/lang/Number,java/lang/Object,java/lang/String,java/lang/System,java/lang/Thread,java/lang/Throwable,java/lang/UnsupportedOperationException,java/lang/reflect/Array,java/lang/reflect/Method
datomic.common	jdk	java.math	6	2	0	4	1	java/math/BigDecimal
datomic.common	jdk	java.net	8	4	0	4	1	java/net/ServerSocket
datomic.common	jdk	java.text	4	2	0	2	2	java/text/DateFormat,java/text/SimpleDateFormat
datomic.common	jdk	java.util	344	113	1	230	20	java/util/ArrayList,java/util/Arrays,java/util/Collection,java/util/Collections,java/util/Comparator,java/util/Date,java/util/Iterator,java/util/List,java/util/Map,java/util/Map$Entry,java/util/Properties,java/util/Set,java/util/Timer,java/util/TimerTask,java/util/UUID,java/util/concurrent/Callable,java/util/concurrent/ExecutorService,java/util/concurrent/Future,java/util/concurrent/TimeUnit,java/util/concurrent/TimeoutException
datomic.common	primary-namespace	datomic.common	203	101	0	102	100	datomic/common$_GT__SINGLEQUOTE_,datomic/common$_LT__SINGLEQUOTE_,datomic/common$array_cat,datomic/common$assert_all,datomic/common$assert_all$fn__9068,datomic/common$await_derefs,datomic/common$bean_setters,datomic/common$bean_setters$fn__9186,datomic/common$bean_setters$fn__9186$fn__9187,datomic/common$bounded_deref,datomic/common$cc,datomic/common$cl,datomic/common$clj_key__GT_env_key,datomic/common$closing_watch,datomic/common$coerce_args,datomic/common$coerce_args$fn__9055,datomic/common$coerce_args$fn__9055$fn__9060,datomic/common$coll_compare,datomic/common$compare,datomic/common$compare_byte_arrays,datomic/common$compare_ex,datomic/common$create_temp_directory,datomic/common$cx,datomic/common$cx$alist__9029,datomic/common$cx$reify__9026,datomic/common$delete_file_recursively,datomic/common$distinct_by,datomic/common$distinct_by$fn__9243,datomic/common$distinct_by$fn__9243$fn__9244,datomic/common$distinct_by$step__9247,datomic/common$distinct_by$step__9247$fn__9248,datomic/common$distinct_by$step__9247$fn__9248$fn__9250,datomic/common$endpoint_QMARK_,datomic/common$ensure_vector,datomic/common$ensure_vectors_in_array,datomic/common$env_key__GT_clj_key,datomic/common$equals_with_strict_scale,datomic/common$find_free_port,datomic/common$fire,datomic/common$fn__9011,datomic/common$fn__9074,datomic/common$fn__9077,datomic/common$fn__9077$G__9072__9082,datomic/common$fn__9077$G__9073__9079,datomic/common$force_keyword,datomic/common$force_map_keywords,datomic/common$force_map_keywords$fn__9212,datomic/common$getx,datomic/common$getx_in,datomic/common$into_bean,datomic/common$key_comparator,datomic/common$key_comparator$reify__9142,datomic/common$key_comparator$reify__9144,datomic/common$load_properties,datomic/common$loading__6434__auto____882,datomic/common$log_and_print,datomic/common$log_retry,datomic/common$map__GT_env,datomic/common$map__GT_env$fn__9044,datomic/common$map__GT_props,datomic/common$map_from_env,datomic/common$map_from_env$fn__9050,datomic/common$mapk,datomic/common$mapk$fn__9157,datomic/common$maybe_class,datomic/common$maybe_deref,datomic/common$maybe_require,datomic/common$pfuture,datomic/common$pfuture$reify__9233,datomic/common$pooled_mapv,datomic/common$pooled_mapv$fn__9238,datomic/common$pooled_mapv$fn__9238$fn__9239,datomic/common$pop_atom_BANG_,datomic/common$props__GT_map,datomic/common$props__GT_map$fn__9228,datomic/common$qualified_name,datomic/common$qualified_symbol_QMARK_,datomic/common$rand_uuid,datomic/common$require_keys,datomic/common$requiring_resolve_BANG_,datomic/common$result_count,datomic/common$result_xform,datomic/common$retry_fn,datomic/common$retry_fn$fn__9168,datomic/common$return_or_throw,datomic/common$returning_throwable,datomic/common$root_cause,datomic/common$schedule,datomic/common$schedule$fn__9151,datomic/common$schedule$reify__9153,datomic/common$split_filter,datomic/common$squuid,datomic/common$squuid_time_ms,datomic/common$store_properties,datomic/common$sync_shutdown,datomic/common$throw_anom,datomic/common$with_nano_time,datomic/common$with_shutdown,datomic/common/AsyncShutdown,datomic/common/proxy$java/util/TimerTask$ff19274a
datomic.config	companion-jar	clojure-1.11.4.jar	3656	1371	8	2277	29	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/Delay,clojure/lang/IFn,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/IRef,clojure/lang/ISeq,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/MethodImplCache,clojure/lang/MultiFn,clojure/lang/Numbers,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashSet,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/RestFn,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.config	jdk	java.io	1	0	0	1	1	java/io/FileNotFoundException
datomic.config	jdk	java.lang	3387	109	75	3203	15	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Double,java/lang/IllegalArgumentException,java/lang/Integer,java/lang/Long,java/lang/Math,java/lang/Number,java/lang/Object,java/lang/Runtime,java/lang/RuntimeException,java/lang/String,java/lang/System,java/lang/Throwable
datomic.config	jdk	java.util	128	43	0	85	4	java/util/Arrays,java/util/List,java/util/concurrent/Callable,java/util/regex/Pattern
datomic.config	primary-namespace	datomic.config	152	76	0	76	75	datomic/config$at_least,datomic/config$at_least$fn__764,datomic/config$bool_QMARK_,datomic/config$ddb_client_args,datomic/config$fn__714,datomic/config$fn__721,datomic/config$fn__724,datomic/config$fn__724$G__717__729,datomic/config$fn__724$G__718__726,datomic/config$fn__735,datomic/config$fn__735$G__719__740,datomic/config$fn__735$G__720__737,datomic/config$fn__746,datomic/config$fn__748,datomic/config$fn__750,datomic/config$fn__752,datomic/config$fn__785,datomic/config$fn__785$fn__786,datomic/config$fn__789,datomic/config$fn__791,datomic/config$fn__793,datomic/config$fn__795,datomic/config$fn__797,datomic/config$fn__799,datomic/config$fn__801,datomic/config$fn__803,datomic/config$fn__805,datomic/config$fn__807,datomic/config$fn__809,datomic/config$fn__813,datomic/config$fn__816,datomic/config$fn__820,datomic/config$fn__822,datomic/config$fn__826,datomic/config$fn__829,datomic/config$fn__831,datomic/config$fn__833,datomic/config$fn__835,datomic/config$fn__846,datomic/config$fn__855,datomic/config$fn__859,datomic/config$fn__861,datomic/config$fn__863,datomic/config$fn__865,datomic/config$fn__867,datomic/config$fn__867$fn__868,datomic/config$fn__879,datomic/config$folsom_QMARK_,datomic/config$in_range,datomic/config$in_range$fn__768,datomic/config$limited_edition_QMARK_,datomic/config$loading__6434__auto____626,datomic/config$local_memcached_args,datomic/config$local_valcache_enabled_QMARK_,datomic/config$max_gb__GT_eviction_threshold_mb,datomic/config$memcached_args,datomic/config$parse_memory_string,datomic/config$prefetch_enabled_QMARK_,datomic/config$pro_QMARK_,datomic/config$property,datomic/config$property_map,datomic/config$property_map$fn__851,datomic/config$protocol_supports_ha_QMARK_,datomic/config$read_revision,datomic/config$read_system_property,datomic/config$reset_BANG_,datomic/config$reset_BANG_$fn__840,datomic/config$s3_client_args,datomic/config$set_pro,datomic/config$valcache_args,datomic/config$validate_properties,datomic/config$version,datomic/config$version_unique,datomic/config$warn_deprecations,datomic/config/Symbolish
datomic.config-ext	companion-jar	clojure-1.11.4.jar	170	53	1	116	14	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/Numbers,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Var
