caller_namespace	target_kind	target	references	call_owner_references	field_owner_references	type_references	distinct_owners	owners
datomic.api	primary-namespace	datomic.api	132	66	0	66	66	datomic/api$add_listener,datomic/api$administer_system,datomic/api$as_of,datomic/api$as_of_t,datomic/api$attribute,datomic/api$basis_t,datomic/api$cancel,datomic/api$cancel$throw_incorrect_anom__19631,datomic/api$connect,datomic/api$create_database,datomic/api$datoms,datomic/api$db,datomic/api$db_stats,datomic/api$delete_database,datomic/api$entid,datomic/api$entid_at,datomic/api$entity,datomic/api$entity_db,datomic/api$filter,datomic/api$fn__19563,datomic/api$fn__19645,datomic/api$function,datomic/api$gc_storage,datomic/api$get_database_names,datomic/api$history,datomic/api$ident,datomic/api$implicit_part,datomic/api$implicit_part_id,datomic/api$index_pull,datomic/api$index_range,datomic/api$invoke,datomic/api$is_filtered,datomic/api$is_history,datomic/api$loading__6434__auto____17821,datomic/api$log,datomic/api$next_t,datomic/api$part,datomic/api$pull,datomic/api$pull_many,datomic/api$q,datomic/api$qseq,datomic/api$query,datomic/api$release,datomic/api$remove_tx_report_queue,datomic/api$rename_database,datomic/api$request_index,datomic/api$resolve_tempid,datomic/api$seek_datoms,datomic/api$shutdown,datomic/api$since,datomic/api$since_t,datomic/api$squuid,datomic/api$squuid_time_millis,datomic/api$sync,datomic/api$sync_excise,datomic/api$sync_index,datomic/api$sync_schema,datomic/api$t__GT_tx,datomic/api$tempid,datomic/api$touch,datomic/api$transact,datomic/api$transact_async,datomic/api$tx__GT_t,datomic/api$tx_range,datomic/api$tx_report_queue,datomic/api$with
datomic.api	primary-namespace	datomic.functions	1	0	0	1	1	datomic/functions/Fn
datomic.artemis-client	companion-jar	artemis-commons-2.31.2.jar	14	2	0	12	2	org/apache/activemq/artemis/api/core/ActiveMQBuffer,org/apache/activemq/artemis/api/core/ActiveMQException
datomic.artemis-client	companion-jar	artemis-core-client-2.31.2.jar	111	41	0	70	12	[Lorg/apache/activemq/artemis/api/core/TransportConfiguration;,org/apache/activemq/artemis/api/core/Message,org/apache/activemq/artemis/api/core/TransportConfiguration,org/apache/activemq/artemis/api/core/client/ActiveMQClient,org/apache/activemq/artemis/api/core/client/ClientConsumer,org/apache/activemq/artemis/api/core/client/ClientMessage,org/apache/activemq/artemis/api/core/client/ClientProducer,org/apache/activemq/artemis/api/core/client/ClientSession,org/apache/activemq/artemis/api/core/client/ClientSessionFactory,org/apache/activemq/artemis/api/core/client/MessageHandler,org/apache/activemq/artemis/api/core/client/ServerLocator,org/apache/activemq/artemis/api/core/client/SessionFailureListener
datomic.artemis-client	companion-jar	clojure-1.11.4.jar	3797	1380	18	2399	30	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPersistentCollection,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/IProxy,clojure/lang/ISeq,clojure/lang/IType,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/MethodImplCache,clojure/lang/Namespace,clojure/lang/Numbers,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashMap,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/RestFn,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Util,clojure/lang/Var
datomic.artemis-client	companion-jar	fressian-0.6.8.jar	8	3	0	5	2	org/fressian/Reader,org/fressian/Writer
datomic.artemis-client	companion-jar	slf4j-api-1.7.32.jar	30	15	0	15	2	org/slf4j/Logger,org/slf4j/LoggerFactory
datomic.artemis-client	jdk	array	1	0	0	1	1	[B
datomic.artemis-client	jdk	java.io	10	9	0	1	1	java/io/OutputStream
datomic.artemis-client	jdk	java.lang	3907	67	38	3802	12	java/lang/AssertionError,java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/InterruptedException,java/lang/Long,java/lang/Number,java/lang/Object,java/lang/String,java/lang/Throwable,java/lang/UnsupportedOperationException
datomic.artemis-client	jdk	java.util	103	33	0	70	4	java/util/Arrays,java/util/List,java/util/Map,java/util/concurrent/Callable
datomic.artemis-client	primary-namespace	com.datomic.impl.peer	2	1	0	1	1	com/datomic/impl/peer/ActiveMQInputStream
